0001	[晴れ]	0001	0074	0044		
0002	[曇り]	0002	0073	0107		
0003	[雨]	0003	0075	0095		
0004	[雪]	0004	0072	0191		
0005	[雷]	0005	0161	0016		
0006	[台風]	0006	0442	0190		
0007	[霧]	0007		0305		
0008	[小雨]	0008	0435	0481		
0009	[牡羊座]	0009	0262	0192		
0010	[牡牛座]	0010	0263	0193		
0011	[双子座]	0011	0264	0194		
0012	[蟹座]	0012	0265	0195		
0013	[獅子座]	0013	0266	0196		
0014	[乙女座]	0014	0267	0197		
0015	[天秤座]	0015	0268	0198		
0016	[蠍座]	0016	0269	0199		
0017	[射手座]	0017	0270	0200		
0018	[山羊座]	0018	0271	0201		
0019	[水瓶座]	0019	0272	0202		
0020	[魚座]	0020	0273	0203		
0021	[野球]	0022	0022	0045		
0022	[ｺﾞﾙﾌ]	0023	0020	0306		
0023	[ﾃﾆｽ]	0024	0021	0220		
0024	[ｻｯｶｰ]	0025	0024	0219		
0025	[ｽｷｰ]	0026	0019	0421		
0026	[ﾊﾞｽｹｯﾄﾎﾞｰﾙ]	0027	0417	0307		
0027	[ﾓｰﾀｰｽﾎﾟｰﾂ]	0028	0140	0222		
0028	[ﾎﾟｹｯﾄﾍﾞﾙ]	0029		0308		
0029	[電車]	0030	0030	0172		
0030	[地下鉄]	0031	0427	0341		
0031	[新幹線]	0032	0428	0217		
0032	[車(ｾﾀﾞﾝ)]	0033	0421	0125		
0033	[車(RV)]	0034	0027			
0034	[ﾊﾞｽ]	0035	0189	0216		
0035	[船]	0036	0192	0379		
0036	[飛行機]	0037	0029	0168		
0037	[家]	0038	0054	0112		
0038	[ﾋﾞﾙ]	0039	0056			
0039	[郵便局]	0040	0183	0375		
0040	[病院]	0041	0185	0376		
0041	[銀行]	0042	0177	0212		
0042	[ATM]	0043	0184	0205		
0043	[ﾎﾃﾙ]	0044	0188	0378		
0044	[ｺﾝﾋﾞﾆ]	0045	0186	0206		
0045	[ｶﾞｿﾘﾝｽﾀﾝﾄﾞ]	0046	0058	0213		
0046	[駐車場]	0047	0179	0208		
0047	[信号]	0048	0178	0099		
0048	[ﾄｲﾚ]	0049	0181	0207		
0049	[ﾚｽﾄﾗﾝ]	0050	0067	0146		
0050	[喫茶店]	0051	0069	0093		
0051	[ﾊﾞｰ]	0052	0068	0052		
0052	[ﾋﾞｰﾙ]	0053	0071	0065		
0053	[ﾌｧｰｽﾄﾌｰﾄﾞ]	0054	0122	0245		
0054	[ﾌﾞﾃｨｯｸ]	0055	0162	0124		
0055	[美容院]	0056	0308	0104		
0056	[ｶﾗｵｹ]	0057	0060	0289		
0057	[映画]	0058	0061	0110		
0058	[右斜め上]	0059	0253	0070		
0059	[音楽]	0061	0299	0294		
0060	[ｱｰﾄ]	0062	0453	0309		
0061	[演劇]	0063	0454	0494		
0062	[ｲﾍﾞﾝﾄ]	0064		0311		
0063	[ﾁｹｯﾄ]	0065	0127	0106		
0064	[喫煙]	0066	0303	0176		
0065	[禁煙]	0067	0198	0177		
0066	[ｶﾒﾗ]	0068	0008	0094		
0067	[ｶﾊﾞﾝ]	0069	0324	0083		
0068	[本]	0070	0172	0097		
0069	[ﾘﾎﾞﾝ]	0071	0309	0312		
0070	[ﾌﾟﾚｾﾞﾝﾄ]	0072	0108	0144		
0071	[ﾛｳｿｸ]	0073	0373			
0072	[電話]	0074	0009	0085		
0073	[携帯電話]	0075	0010	0161		
0074	[ﾒﾓ]	0076	0290	0395		
0075	[TV]	0077	0132	0288		
0076	[ｹﾞｰﾑ]	0078	0133	0232		
0077	[CD]	0079	0128	0300		
0078	[ﾊｰﾄ]	0080	0202	0051		
0079	[ｽﾍﾟｰﾄﾞ]	0081	0204	0314		
0080	[ﾀﾞｲﾔ]	0082	0203	0315		
0081	[ｸﾗﾌﾞ]	0083	0205	0316		
0082	[目]	0084	0400	0317		
0083	[耳]	0085	0402	0318		
0084	[手(ｸﾞｰ)]	0086	0016	0817		
0085	[手(ﾁｮｷ)]	0087	0017	0319		
0086	[手(ﾊﾟｰ)]	0088	0018	0320		
0087	[右斜め下]	0089	0255	0043		
0088	[左斜め下]	0090	0254	0042		
0089	[足]	0091	0505	0728		
0090	[くつ	0092	0007	0336		
0091	[眼鏡]	0093		0116		
0092	[車椅子]	0094	0200	0178		
0093	[新月]	0095		0321		
0094	[やや欠け月]	0096		0322		
0095	[半月]	0097		0323		
0096	[三日月]	0098	0076	0015		
0097	[犬]	0100	0082	0134		
0098	[猫]	0101	0079	0251		
0099	[ﾖｯﾄ]	0102	0028	0169		
0100	[ｸﾘｽﾏｽ]	0103	0051	0234		
0101	[左斜め下]	0104	0256	0071		
0102	[phone to]	0105	0094			
0103	[mail to]	0106	0093	0784		
0104	[fax to]	0107	0011	0166		
0105	[ﾒｰﾙ]	0110	0092	0108		
0106	[有料]	0113	0211			
0107	[無料]	0114	0212	0299		
0108	[ID]	0115	0231	0385		
0109	[ﾊﾟｽﾜｰﾄﾞ]	0116	0063	0120		
0110	[ｸﾘｱ]	0118		0324		
0111	[ｻｰﾁ(調べる)]	0119	0110	0119		
0112	[NEW]	0120	0208	0334		
0113	[ﾌﾘｰﾀﾞｲﾔﾙ]	0122	0207			
0114	[ｼｬｰﾌﾟﾀﾞｲﾔﾙ]	0123	0206	0818		
0115	[1]	0125	0218	0180		
0116	[2]	0126	0219	0181		
0117	[3]	0127	0220	0182		
0118	[4]	0128	0221	0183		
0119	[5]	0129	0222	0184		
0120	[6]	0130	0223	0185		
0121	[7]	0131	0224	0186		
0122	[8]	0132	0225	0187		
0123	[9]	0133	0226	0188		
0124	[0]	0134	0227	0325		
0125	[決定]	0135	0276	0326		
0126	[ﾊｰﾄ]	0136	0034	0414		
0127	[失恋]	0138	0035	0265		
0128	[ﾊｰﾄ達(複数ﾊｰﾄ)]	0139		0266		
0129	[わーい(嬉しい顔)]	0140	0087	0257		
0130	[ちっ(怒った顔)]	0141	0089	0258		
0131	[がく〜(落胆した顔)]	0142	0088	0441		
0132	[もうやだ〜(悲しい顔)]	0143	0376	0260		
0133	[ふらふら]	0144	0382	0444		
0134	[ｸﾞｯﾄﾞ(上向き矢印)]	0145		0731		
0135	[るんるん]	0146	0062	0343		
0136	[いい気分(温泉)]	0147	0125	0224		
0137	[ｷｽﾏｰｸ]	0149	0003	0273		
0138	[ぴかぴか(新しい)]	0150	0335	0420		
0139	[ひらめき]	0151	0105	0077		
0140	[ﾑｶｯ(怒り)]	0152	0350	0262		
0141	[ﾊﾟﾝﾁ]	0153	0013	0281		
0142	[爆弾]	0154	0306	0268		
0143	[ﾊﾞｯﾄﾞ(下向き矢印)]	0156		0732		
0144	[眠い(睡眠)]	0157	0160	0261		
0145	[exclamation]	0158	0033	0002		
0146	[exclamation&question]	0159		0733		
0147	[exclamation×2]	0160		0734		
0148	[どんっ(衝撃)]	0161		0329		
0149	[あせあせ(飛び散る汗)]	0162	0338	0330		
0150	[たらーっ(汗)]	0163		0263		
0151	[ﾀﾞｯｼｭ(走り出すさま)]	0164	0337	0282		
0152	[ー(長音記号2)]	0166		0735		
0153	[ｶﾁﾝｺ]	0167	0325	0226		
0154	[いす]	0171	0121			
0155	[時計]	0176	0045	0046		
0156	[Tｼｬﾂ(ﾎﾞｰﾀﾞｰ)]	1003	0006	0335		
0157	[ｶﾞﾏ口財布]	1004		0290		
0158	[化粧]	1005	0317	0295		
0159	[ｼﾞｰﾝｽﾞ]	1006		0805		
0160	[ｽﾉﾎﾞ]	1007		0221		
0161	[ﾍﾞﾙ]	1008	0326	0048		
0162	[ﾄﾞﾙ袋]	1010	0137	0014		
0163	[ﾊﾟｿｺﾝ]	1011	0012	0337		
0164	[ﾗﾌﾞﾚﾀｰ]	1012		0806		
0165	[ﾚﾝﾁ]	1013		0152		
0166	[鉛筆]	1014		0149		
0167	[王冠]	1015	0104	0354		
0168	[指輪]	1016	0052			
0169	[砂時計]	1017		0057		
